student_id,gender,race/ethnicity,parental level of education,LUNCH,test preparation course,math score,reading score,writing score,telephone,college_id
10000195,male,multiracial,associate's degree,standard,none,61,55,52,6336769412,10001
10000196,male,asian american,some high school,free/reduced,completed,59,69,65,1344679901,10006
10000197,male,native american,high school,free/reduced,none,55,56,51,2342167543,10001
10000198,female,african american,some college,free/reduced,none,45,53,55,7424476627,10006
10000199,female,african american,bachelor's degree,free/reduced,none,78,79,76,6435866502,10000
10000200,female,asian american,associate's degree,standard,completed,67,84,86,6757640512,10000
10000201,female,multiracial,some college,free/reduced,none,65,81,77,3355981434,10003
10000202,male,asian american,associate's degree,standard,none,69,77,69,8000612993,10002
10000203,female,african american,associate's degree,standard,none,57,69,68,6095977723,10004
10000204,male,asian american,some college,standard,none,59,41,42,3331132138,10000
10000205,male,multiracial,some high school,standard,completed,74,71,78,5843731196,10005
10000206,male,native american,bachelor's degree,standard,none,82,62,62,8781607628,10002
10000207,male,native american,high school,standard,completed,81,80,76,7153556390,10007
10000208,female,african american,some college,free/reduced,none,74,81,76,4117001779,10006
10000209,female,african american,some college,free/reduced,none,58,61,66,6372694552,10007
10000210,male,multiracial,some high school,free/reduced,completed,80,79,79,7862521600,10000
10000211,male,asian american,some college,free/reduced,none,35,28,27,3181636490,10004
10000212,female,asian american,high school,free/reduced,none,42,62,60,9502420440,10006
10000213,male,asian american,associate's degree,free/reduced,completed,60,51,56,5216541454,10002
10000214,male,native american,high school,standard,completed,87,91,81,7679693153,10001
10000215,male,african american,some high school,standard,completed,84,83,75,5722605726,10002
10000216,female,native american,associate's degree,free/reduced,completed,83,86,88,9925203757,10005
10000217,female,asian american,high school,free/reduced,none,34,42,39,7493750462,10000
10000218,male,african american,high school,free/reduced,none,66,77,70,7476179544,10006
10000219,male,african american,some high school,standard,completed,61,56,56,7249800620,10005
10000220,female,multiracial,high school,standard,completed,56,68,74,9748483115,10005
10000221,male,african american,associate's degree,standard,none,87,85,73,1060880383,10006
10000222,female,asian american,some high school,free/reduced,none,55,65,62,5531434508,10006
10000223,male,multiracial,some high school,standard,none,86,80,75,1270820743,10001
10000224,female,african american,associate's degree,standard,completed,52,66,73,5913049336,10004
10000225,female,native american,master's degree,free/reduced,none,45,56,54,8361388836,10006
10000226,female,asian american,some college,standard,none,72,72,71,9534789499,10003
10000227,male,multiracial,high school,standard,none,57,50,54,5151526410,10003
10000228,male,white american,some high school,free/reduced,none,68,72,64,2215392525,10001
10000229,female,asian american,some college,standard,completed,88,95,94,5082349471,10002
10000230,male,multiracial,some college,standard,none,76,64,66,6843982920,10002
10000231,male,asian american,associate's degree,standard,none,46,43,42,6824822564,10004
10000232,female,african american,bachelor's degree,standard,none,67,86,83,4786400636,10000
10000233,male,native american,some high school,standard,none,92,87,78,8796308192,10001
10000234,male,asian american,bachelor's degree,standard,completed,83,82,84,8200347020,10002
10000235,male,multiracial,associate's degree,standard,none,80,75,77,2116820268,10002
10000236,male,multiracial,bachelor's degree,free/reduced,none,63,66,67,8585194502,10000
10000237,female,multiracial,some high school,standard,completed,64,60,74,4571480040,10005
10000238,male,african american,some college,standard,none,54,52,51,2896094951,10002
10000239,male,asian american,associate's degree,standard,none,84,80,80,4000754649,10001
10000240,male,multiracial,high school,free/reduced,completed,73,68,66,9310874970,10005
10000241,female,native american,bachelor's degree,standard,none,80,83,83,1288564791,10001
10000242,female,multiracial,high school,standard,none,56,52,55,5441973893,10007
10000243,male,native american,some college,standard,none,59,51,43,1570926034,10000
10000244,male,multiracial,some high school,standard,none,75,74,69,3302012656,10006
10000245,male,asian american,associate's degree,standard,none,85,76,71,3734469221,10003
10000246,male,native american,associate's degree,standard,none,89,76,74,2740179284,10001
10000247,female,african american,high school,standard,completed,58,70,68,4472006155,10006
10000248,female,african american,high school,standard,none,65,64,62,6243963540,10004
10000249,male,asian american,high school,standard,none,68,60,53,1476020225,10004
10000250,male,white american,some high school,standard,completed,47,49,49,9592022838,10003
10000251,female,multiracial,some college,free/reduced,none,71,83,83,3645204752,10005
10000252,female,african american,some high school,standard,completed,60,70,70,8552505433,10004
10000253,male,multiracial,master's degree,standard,none,80,80,72,6114397832,10006
10000254,male,multiracial,high school,standard,none,54,52,52,7185056056,10002
10000255,female,native american,some college,standard,none,62,73,70,6859980011,10003
10000256,female,asian american,associate's degree,free/reduced,none,64,73,68,2658211919,10006
10000257,male,asian american,associate's degree,standard,completed,78,77,77,7454416322,10004
10000258,female,african american,some college,standard,none,70,75,78,1024507136,10007
10000259,female,asian american,master's degree,free/reduced,completed,65,81,81,7800924708,10000
10000260,female,asian american,some high school,free/reduced,completed,64,79,77,3835418048,10003
10000261,male,asian american,some college,standard,completed,79,79,78,6127886365,10001
10000262,female,asian american,some high school,free/reduced,none,44,50,51,9611592142,10003
10000263,female,native american,high school,standard,none,99,93,90,4494658223,10004
10000264,male,multiracial,high school,standard,none,76,73,68,6355615164,10001
10000265,male,multiracial,some high school,free/reduced,none,59,42,41,6295432254,10003
10000266,female,asian american,bachelor's degree,standard,none,63,75,81,1041162794,10003
10000267,female,multiracial,high school,standard,none,69,72,77,2668194108,10006
10000268,female,multiracial,associate's degree,standard,completed,88,92,95,9908609424,10001
10000269,female,native american,some college,free/reduced,none,71,76,70,8975063502,10004
10000270,male,asian american,bachelor's degree,standard,none,69,63,61,4157677713,10002
10000271,male,asian american,some college,standard,none,58,49,42,4547707854,10004
10000272,female,multiracial,associate's degree,free/reduced,none,47,53,58,7537288710,10006
10000273,female,multiracial,some college,standard,none,65,70,71,9786750015,10007
10000274,male,african american,some college,standard,completed,88,85,76,6069306046,10001
10000275,male,asian american,bachelor's degree,standard,none,83,78,73,5493180375,10006
10000276,female,asian american,some high school,standard,completed,85,92,93,1022347668,10003
10000277,female,native american,high school,standard,completed,59,63,75,6302159410,10006
10000278,female,asian american,some high school,free/reduced,none,65,86,80,4131769852,10006
10000279,male,african american,bachelor's degree,free/reduced,none,73,56,57,9813705727,10005
10000280,male,multiracial,high school,standard,none,53,52,42,1435297468,10000
10000281,male,multiracial,high school,standard,none,45,48,46,8310430020,10006
10000282,female,multiracial,bachelor's degree,free/reduced,none,73,79,84,9940408206,10002
10000283,female,multiracial,some college,free/reduced,completed,70,78,78,3219201794,10000
10000284,female,african american,some high school,standard,none,37,46,46,8642394899,10004
10000285,male,african american,associate's degree,standard,completed,81,82,82,7341103769,10001
10000286,male,native american,associate's degree,standard,completed,97,82,88,6849388183,10007
10000287,female,african american,some high school,standard,none,67,89,82,8483335880,10000
10000288,male,african american,bachelor's degree,free/reduced,none,88,75,76,2077925879,10003
10000289,male,native american,some high school,standard,completed,77,76,77,6695210864,10001
10000290,male,asian american,associate's degree,standard,none,76,70,68,9973792418,10005
10000291,male,multiracial,some high school,standard,none,86,73,70,9789213815,10003
10000292,male,asian american,some high school,standard,completed,63,60,57,2897018852,10006
10000293,female,native american,bachelor's degree,standard,none,65,73,75,2512321278,10001
10000294,male,multiracial,high school,free/reduced,completed,78,77,80,7735099011,10004
10000295,male,african american,associate's degree,free/reduced,none,67,62,60,8227380289,10001
10000296,male,white american,some high school,standard,completed,46,41,43,5943306723,10006
10000297,male,native american,associate's degree,standard,completed,71,74,68,5784869586,10007
10000298,male,asian american,high school,free/reduced,completed,40,46,50,7831115768,10003
10000299,male,multiracial,associate's degree,free/reduced,none,90,87,75,2674608281,10000
10000300,male,white american,some college,free/reduced,completed,81,78,81,2650264255,10003
10000301,male,multiracial,some high school,free/reduced,none,56,54,52,6034793871,10007
10000302,female,asian american,associate's degree,standard,completed,67,84,81,1796646345,10001
10000303,male,african american,associate's degree,standard,none,80,76,64,9710268912,10002
10000304,female,asian american,associate's degree,standard,completed,74,75,83,4879744014,10006
10000305,male,white american,some college,standard,none,69,67,69,5630760436,10003
10000306,male,native american,some college,standard,completed,99,87,81,1420330827,10000
10000307,male,asian american,some high school,standard,none,51,52,44,4139950450,10000
10000308,female,african american,associate's degree,free/reduced,none,53,71,67,7849744353,10001
10000309,female,multiracial,high school,free/reduced,none,49,57,52,6727129136,10000
10000310,female,african american,associate's degree,standard,none,73,76,80,8010093567,10005
10000311,male,african american,bachelor's degree,standard,none,66,60,57,5128836616,10006
10000312,male,multiracial,bachelor's degree,standard,completed,67,61,68,1335966103,10002
10000313,female,asian american,associate's degree,free/reduced,completed,68,67,69,4472035996,10002
10000314,female,asian american,bachelor's degree,standard,completed,59,64,75,9612841098,10007
10000315,male,asian american,high school,standard,none,71,66,65,2145416903,10001
10000316,female,multiracial,master's degree,standard,completed,77,82,91,2801973785,10001
10000317,male,asian american,associate's degree,standard,none,83,72,78,3622229921,10004
10000318,male,african american,bachelor's degree,standard,none,63,71,69,4514592504,10005
10000319,female,multiracial,associate's degree,free/reduced,none,56,65,63,2633578293,10005
10000320,female,asian american,high school,free/reduced,completed,67,79,84,7897425295,10000
10000321,female,native american,high school,standard,none,75,86,79,5834740368,10006
10000322,female,asian american,some college,standard,none,71,81,80,5863524685,10001
10000323,female,asian american,some high school,free/reduced,none,43,53,53,3228089543,10001
10000324,female,asian american,high school,free/reduced,none,41,46,43,1013381255,10005
10000325,female,asian american,some college,standard,none,82,90,94,9774418006,10000
10000326,male,asian american,some college,standard,none,61,61,62,5061136945,10007
10000327,male,white american,some college,free/reduced,none,28,23,19,2708006527,10007
10000328,male,asian american,associate's degree,standard,completed,82,75,77,5997649897,10005
10000329,female,african american,some high school,standard,none,41,55,51,7017141814,10000
10000330,male,asian american,high school,standard,none,71,60,61,4899629626,10001
10000331,male,asian american,associate's degree,standard,none,47,37,35,6212010975,10001
10000332,male,native american,associate's degree,standard,completed,62,56,53,1810245712,10003
10000333,male,african american,associate's degree,standard,none,90,78,81,5521068470,10000
10000334,female,asian american,bachelor's degree,standard,none,83,93,95,2267604448,10000
10000335,female,african american,some college,free/reduced,none,61,68,66,9537851195,10004
10000336,male,multiracial,some high school,standard,completed,76,70,69,2757532035,10001
10000337,male,asian american,associate's degree,standard,none,49,51,43,2989204481,10000
10000338,female,african american,some high school,free/reduced,none,24,38,27,6999681319,10007
10000339,female,multiracial,some high school,free/reduced,completed,35,55,60,4168419152,10000
10000340,male,asian american,high school,free/reduced,none,58,61,52,1850733709,10006
10000341,female,asian american,high school,standard,none,61,73,63,8767702096,10007
10000342,female,african american,high school,standard,completed,69,76,74,2039664674,10001
10000343,male,multiracial,associate's degree,standard,completed,67,72,67,1284760779,10007
10000344,male,multiracial,some college,standard,none,79,73,67,2906374823,10003
10000345,female,asian american,high school,standard,none,72,80,75,3645529763,10002
10000346,male,african american,some college,standard,none,62,61,57,6082371425,10005
10000347,female,asian american,bachelor's degree,standard,completed,77,94,95,7915805099,10007
10000348,male,multiracial,high school,free/reduced,none,75,74,66,9374824583,10004
10000349,male,native american,associate's degree,standard,none,87,74,76,8627180812,10007
10000350,female,african american,bachelor's degree,standard,none,52,65,69,8686926717,10004
10000351,male,native american,some college,standard,none,66,57,52,8870238194,10003
10000352,female,asian american,some college,standard,completed,63,78,80,5082059910,10006
10000353,female,asian american,associate's degree,standard,none,46,58,57,5289284249,10004
10000354,female,asian american,some college,standard,none,59,71,70,5086323591,10003
10000355,female,african american,bachelor's degree,standard,none,61,72,70,9717937835,10001
10000356,male,white american,associate's degree,standard,none,63,61,61,9732716594,10000
10000357,female,asian american,some college,free/reduced,completed,42,66,69,6387911288,10001
10000358,male,multiracial,some college,free/reduced,none,59,62,61,4140109589,10005
10000359,female,multiracial,some college,standard,none,80,90,89,9310572982,10006
10000360,female,african american,high school,standard,none,58,62,59,2603972636,10000
10000361,male,african american,some high school,standard,completed,85,84,78,3084504167,10002
10000362,female,asian american,some college,standard,none,52,58,58,9259816139,10001
10000363,female,multiracial,some high school,free/reduced,none,27,34,32,5515445466,10001
10000364,male,asian american,some college,standard,none,59,60,58,7018922088,10006
10000365,male,white american,bachelor's degree,free/reduced,completed,49,58,60,8699462038,10000
10000366,male,asian american,high school,standard,completed,69,58,53,4016282503,10006
10000367,male,asian american,bachelor's degree,free/reduced,none,61,66,61,4756998907,10003
10000368,female,white american,some high school,free/reduced,none,44,64,58,7230758801,10003
10000369,female,multiracial,some high school,standard,none,73,84,85,1587967524,10007
10000370,male,native american,some college,standard,none,84,77,71,5750614913,10006
10000371,female,asian american,some college,free/reduced,completed,45,73,70,9609041170,10006
10000372,male,multiracial,some high school,standard,none,74,74,72,3567229851,10007
10000373,female,multiracial,some college,standard,completed,82,97,96,4177056280,10001
10000374,female,multiracial,bachelor's degree,standard,none,59,70,73,4721328598,10007
10000375,male,native american,associate's degree,free/reduced,none,46,43,41,6883802271,10002
10000376,female,multiracial,some high school,standard,none,80,90,82,3772229822,10004
10000377,female,multiracial,master's degree,free/reduced,completed,85,95,100,4658012832,10006
10000378,female,white american,some high school,standard,none,71,83,77,9826389961,10005
10000379,male,white american,bachelor's degree,standard,none,66,64,62,1754631807,10001
10000380,female,african american,associate's degree,standard,none,80,86,83,3012357291,10005
10000381,male,asian american,associate's degree,standard,completed,87,100,95,9422045712,10006
10000382,male,asian american,master's degree,free/reduced,none,79,81,71,2991048802,10007
10000383,female,native american,some high school,free/reduced,none,38,49,45,1148197865,10003
10000384,female,white american,some high school,free/reduced,none,38,43,43,9347160444,10001
10000385,female,native american,some college,standard,none,67,76,75,3437039100,10007
10000386,female,native american,bachelor's degree,standard,none,64,73,70,9322327131,10007
10000387,female,asian american,associate's degree,free/reduced,none,57,78,67,1404752425,10005
10000388,female,multiracial,high school,standard,none,62,64,64,6267617717,10003
10000389,male,multiracial,master's degree,standard,none,73,70,75,6545708703,10007
10000390,male,native american,some high school,free/reduced,completed,73,67,59,2289128779,10003
10000391,female,multiracial,some college,standard,none,77,68,77,7377017785,10001
10000392,male,native american,some college,standard,none,76,67,67,1781749100,10005
10000393,male,asian american,associate's degree,standard,completed,57,54,56,2119708016,10001
10000394,female,asian american,some high school,standard,completed,65,74,77,8951921892,10005
10000395,male,white american,high school,free/reduced,none,48,45,41,5262781726,10006
10000396,female,african american,high school,free/reduced,none,50,67,63,5937264259,10006
10000397,female,asian american,associate's degree,standard,none,85,89,95,1416518283,10000
10000398,male,african american,some high school,standard,none,74,63,57,8880433092,10004
